configuration,threshold,retained_answers,coverage,selective_accuracy,correct_retained
cheap__single_pass,0.000000000000,128,0.426666666667,0.789062500000,101
cheap__single_pass,0.740000000000,128,0.426666666667,0.789062500000,101
cheap__single_pass,0.780000000000,122,0.406666666667,0.811475409836,99
cheap__single_pass,0.860000000000,116,0.386666666667,0.836206896552,97
cheap__single_pass,0.900000000000,93,0.310000000000,0.903225806452,84
cheap__single_pass,0.980000000000,48,0.160000000000,0.979166666667,47
cheap__self_check,0.000000000000,76,0.253333333333,0.828947368421,63
cheap__self_check,0.860000000000,76,0.253333333333,0.828947368421,63
cheap__self_check,0.900000000000,72,0.240000000000,0.861111111111,62
cheap__self_check,0.930000000000,63,0.210000000000,0.873015873016,55
cheap__self_check,0.950000000000,62,0.206666666667,0.870967741935,54
cheap__self_check,0.980000000000,60,0.200000000000,0.883333333333,53
cheap__self_check,0.990000000000,11,0.036666666667,1.000000000000,11
cheap__escalation,0.000000000000,127,0.423333333333,0.779527559055,99
cheap__escalation,0.720000000000,127,0.423333333333,0.779527559055,99
cheap__escalation,0.740000000000,126,0.420000000000,0.785714285714,99
cheap__escalation,0.780000000000,121,0.403333333333,0.801652892562,97
cheap__escalation,0.860000000000,112,0.373333333333,0.857142857143,96
cheap__escalation,0.900000000000,88,0.293333333333,0.909090909091,80
cheap__escalation,0.980000000000,41,0.136666666667,1.000000000000,41
standard__single_pass,0.000000000000,34,0.113333333333,0.911764705882,31
standard__single_pass,0.780000000000,34,0.113333333333,0.911764705882,31
standard__single_pass,0.960000000000,33,0.110000000000,0.939393939394,31
standard__single_pass,0.980000000000,30,0.100000000000,0.933333333333,28
standard__single_pass,0.990000000000,12,0.040000000000,1.000000000000,12
standard__self_check,0.000000000000,8,0.026666666667,0.875000000000,7
standard__self_check,0.980000000000,8,0.026666666667,0.875000000000,7
standard__self_check,0.990000000000,6,0.020000000000,0.833333333333,5
standard__escalation,0.000000000000,128,0.426666666667,0.804687500000,103
standard__escalation,0.720000000000,128,0.426666666667,0.804687500000,103
standard__escalation,0.740000000000,127,0.423333333333,0.811023622047,103
standard__escalation,0.780000000000,124,0.413333333333,0.822580645161,102
standard__escalation,0.860000000000,118,0.393333333333,0.847457627119,100
standard__escalation,0.900000000000,92,0.306666666667,0.913043478261,84
standard__escalation,0.960000000000,48,0.160000000000,0.979166666667,47
standard__escalation,0.970000000000,47,0.156666666667,1.000000000000,47
standard__escalation,0.980000000000,46,0.153333333333,1.000000000000,46
capable__single_pass,0.000000000000,166,0.553333333333,0.734939759036,122
capable__single_pass,0.620000000000,166,0.553333333333,0.734939759036,122
capable__single_pass,0.720000000000,165,0.550000000000,0.739393939394,122
capable__single_pass,0.740000000000,164,0.546666666667,0.743902439024,122
capable__single_pass,0.840000000000,163,0.543333333333,0.748466257669,122
capable__single_pass,0.880000000000,160,0.533333333333,0.762500000000,122
capable__single_pass,0.910000000000,159,0.530000000000,0.767295597484,122
capable__single_pass,0.950000000000,157,0.523333333333,0.777070063694,122
capable__single_pass,0.960000000000,127,0.423333333333,0.889763779528,113
capable__single_pass,0.970000000000,115,0.383333333333,0.913043478261,105
capable__single_pass,0.980000000000,87,0.290000000000,0.954022988506,83
capable__single_pass,0.990000000000,28,0.093333333333,1.000000000000,28
capable__self_check,0.000000000000,162,0.540000000000,0.777777777778,126
capable__self_check,0.620000000000,162,0.540000000000,0.777777777778,126
capable__self_check,0.740000000000,161,0.536666666667,0.782608695652,126
capable__self_check,0.840000000000,160,0.533333333333,0.787500000000,126
capable__self_check,0.890000000000,159,0.530000000000,0.792452830189,126
capable__self_check,0.930000000000,158,0.526666666667,0.791139240506,125
capable__self_check,0.940000000000,156,0.520000000000,0.801282051282,125
capable__self_check,0.950000000000,155,0.516666666667,0.806451612903,125
capable__self_check,0.960000000000,141,0.470000000000,0.865248226950,122
capable__self_check,0.970000000000,136,0.453333333333,0.889705882353,121
capable__self_check,0.980000000000,123,0.410000000000,0.943089430894,116
capable__self_check,0.990000000000,94,0.313333333333,0.989361702128,93
capable__escalation,0.000000000000,149,0.496666666667,0.711409395973,106
capable__escalation,0.720000000000,149,0.496666666667,0.711409395973,106
capable__escalation,0.740000000000,148,0.493333333333,0.716216216216,106
capable__escalation,0.780000000000,145,0.483333333333,0.724137931034,105
capable__escalation,0.820000000000,137,0.456666666667,0.744525547445,102
capable__escalation,0.840000000000,134,0.446666666667,0.761194029851,102
capable__escalation,0.860000000000,131,0.436666666667,0.778625954198,102
capable__escalation,0.880000000000,108,0.360000000000,0.833333333333,90
capable__escalation,0.900000000000,106,0.353333333333,0.839622641509,89
capable__escalation,0.950000000000,65,0.216666666667,0.815384615385,53
capable__escalation,0.960000000000,48,0.160000000000,0.937500000000,45
capable__escalation,0.970000000000,47,0.156666666667,0.957446808511,45
capable__escalation,0.980000000000,40,0.133333333333,1.000000000000,40
