configuration,model_tier,strategy,case_id,latency_ms
cheap__single_pass,cheap,single_pass,case_0001,2018
cheap__single_pass,cheap,single_pass,case_0002,1397
cheap__single_pass,cheap,single_pass,case_0003,1423
cheap__single_pass,cheap,single_pass,case_0004,1463
cheap__single_pass,cheap,single_pass,case_0005,854
cheap__single_pass,cheap,single_pass,case_0006,1804
cheap__single_pass,cheap,single_pass,case_0007,1015
cheap__single_pass,cheap,single_pass,case_0008,1206
cheap__single_pass,cheap,single_pass,case_0009,1162
cheap__single_pass,cheap,single_pass,case_0010,1019
cheap__single_pass,cheap,single_pass,case_0011,1689
cheap__single_pass,cheap,single_pass,case_0012,1485
cheap__single_pass,cheap,single_pass,case_0013,1351
cheap__single_pass,cheap,single_pass,case_0014,2113
cheap__single_pass,cheap,single_pass,case_0015,864
cheap__single_pass,cheap,single_pass,case_0016,1865
cheap__single_pass,cheap,single_pass,case_0017,1165
cheap__single_pass,cheap,single_pass,case_0018,974
cheap__single_pass,cheap,single_pass,case_0019,951
cheap__single_pass,cheap,single_pass,case_0020,939
cheap__single_pass,cheap,single_pass,case_0021,899
cheap__single_pass,cheap,single_pass,case_0022,1173
cheap__single_pass,cheap,single_pass,case_0023,903
cheap__single_pass,cheap,single_pass,case_0024,1217
cheap__single_pass,cheap,single_pass,case_0025,1316
cheap__single_pass,cheap,single_pass,case_0026,1348
cheap__single_pass,cheap,single_pass,case_0027,1102
cheap__single_pass,cheap,single_pass,case_0028,14569
cheap__single_pass,cheap,single_pass,case_0029,962
cheap__single_pass,cheap,single_pass,case_0030,1325
cheap__single_pass,cheap,single_pass,case_0031,1509
cheap__single_pass,cheap,single_pass,case_0032,957
cheap__single_pass,cheap,single_pass,case_0033,886
cheap__single_pass,cheap,single_pass,case_0034,1213
cheap__single_pass,cheap,single_pass,case_0035,1818
cheap__single_pass,cheap,single_pass,case_0036,1364
cheap__single_pass,cheap,single_pass,case_0037,981
cheap__single_pass,cheap,single_pass,case_0038,1363
