configuration,bin,lower,upper,count,accuracy,mean_confidence
cheap__single_pass,1,0.000000000000,0.100000000000,0,NA,NA
cheap__single_pass,2,0.100000000000,0.200000000000,0,NA,NA
cheap__single_pass,3,0.200000000000,0.300000000000,0,NA,NA
cheap__single_pass,4,0.300000000000,0.400000000000,0,NA,NA
cheap__single_pass,5,0.400000000000,0.500000000000,0,NA,NA
cheap__single_pass,6,0.500000000000,0.600000000000,0,NA,NA
cheap__single_pass,7,0.600000000000,0.700000000000,0,NA,NA
cheap__single_pass,8,0.700000000000,0.800000000000,12,0.333333333333,0.760000000000
cheap__single_pass,9,0.800000000000,0.900000000000,23,0.565217391304,0.860000000000
cheap__single_pass,10,0.900000000000,1.000000000000,93,0.903225806452,0.941290322581
cheap__self_check,1,0.000000000000,0.100000000000,0,NA,NA
cheap__self_check,2,0.100000000000,0.200000000000,0,NA,NA
cheap__self_check,3,0.200000000000,0.300000000000,0,NA,NA
cheap__self_check,4,0.300000000000,0.400000000000,0,NA,NA
cheap__self_check,5,0.400000000000,0.500000000000,0,NA,NA
cheap__self_check,6,0.500000000000,0.600000000000,0,NA,NA
cheap__self_check,7,0.600000000000,0.700000000000,0,NA,NA
cheap__self_check,8,0.700000000000,0.800000000000,0,NA,NA
cheap__self_check,9,0.800000000000,0.900000000000,4,0.250000000000,0.860000000000
cheap__self_check,10,0.900000000000,1.000000000000,72,0.861111111111,0.970000000000
cheap__escalation,1,0.000000000000,0.100000000000,0,NA,NA
cheap__escalation,2,0.100000000000,0.200000000000,0,NA,NA
cheap__escalation,3,0.200000000000,0.300000000000,0,NA,NA
cheap__escalation,4,0.300000000000,0.400000000000,0,NA,NA
cheap__escalation,5,0.400000000000,0.500000000000,0,NA,NA
cheap__escalation,6,0.500000000000,0.600000000000,0,NA,NA
cheap__escalation,7,0.600000000000,0.700000000000,0,NA,NA
cheap__escalation,8,0.700000000000,0.800000000000,15,0.200000000000,0.762666666667
cheap__escalation,9,0.800000000000,0.900000000000,24,0.666666666667,0.860000000000
cheap__escalation,10,0.900000000000,1.000000000000,88,0.909090909091,0.937272727273
standard__single_pass,1,0.000000000000,0.100000000000,0,NA,NA
standard__single_pass,2,0.100000000000,0.200000000000,0,NA,NA
standard__single_pass,3,0.200000000000,0.300000000000,0,NA,NA
standard__single_pass,4,0.300000000000,0.400000000000,0,NA,NA
standard__single_pass,5,0.400000000000,0.500000000000,0,NA,NA
standard__single_pass,6,0.500000000000,0.600000000000,0,NA,NA
standard__single_pass,7,0.600000000000,0.700000000000,0,NA,NA
standard__single_pass,8,0.700000000000,0.800000000000,1,0.000000000000,0.780000000000
standard__single_pass,9,0.800000000000,0.900000000000,0,NA,NA
standard__single_pass,10,0.900000000000,1.000000000000,33,0.939393939394,0.981818181818
standard__self_check,1,0.000000000000,0.100000000000,0,NA,NA
standard__self_check,2,0.100000000000,0.200000000000,0,NA,NA
standard__self_check,3,0.200000000000,0.300000000000,0,NA,NA
standard__self_check,4,0.300000000000,0.400000000000,0,NA,NA
standard__self_check,5,0.400000000000,0.500000000000,0,NA,NA
standard__self_check,6,0.500000000000,0.600000000000,0,NA,NA
standard__self_check,7,0.600000000000,0.700000000000,0,NA,NA
standard__self_check,8,0.700000000000,0.800000000000,0,NA,NA
standard__self_check,9,0.800000000000,0.900000000000,0,NA,NA
standard__self_check,10,0.900000000000,1.000000000000,8,0.875000000000,0.987500000000
standard__escalation,1,0.000000000000,0.100000000000,0,NA,NA
standard__escalation,2,0.100000000000,0.200000000000,0,NA,NA
standard__escalation,3,0.200000000000,0.300000000000,0,NA,NA
standard__escalation,4,0.300000000000,0.400000000000,0,NA,NA
standard__escalation,5,0.400000000000,0.500000000000,0,NA,NA
standard__escalation,6,0.500000000000,0.600000000000,0,NA,NA
standard__escalation,7,0.600000000000,0.700000000000,0,NA,NA
standard__escalation,8,0.700000000000,0.800000000000,10,0.300000000000,0.762000000000
standard__escalation,9,0.800000000000,0.900000000000,26,0.615384615385,0.860000000000
standard__escalation,10,0.900000000000,1.000000000000,92,0.913043478261,0.941413043478
capable__single_pass,1,0.000000000000,0.100000000000,0,NA,NA
capable__single_pass,2,0.100000000000,0.200000000000,0,NA,NA
capable__single_pass,3,0.200000000000,0.300000000000,0,NA,NA
capable__single_pass,4,0.300000000000,0.400000000000,0,NA,NA
capable__single_pass,5,0.400000000000,0.500000000000,0,NA,NA
capable__single_pass,6,0.500000000000,0.600000000000,0,NA,NA
capable__single_pass,7,0.600000000000,0.700000000000,1,0.000000000000,0.620000000000
capable__single_pass,8,0.700000000000,0.800000000000,2,0.000000000000,0.730000000000
capable__single_pass,9,0.800000000000,0.900000000000,4,0.000000000000,0.850000000000
capable__single_pass,10,0.900000000000,1.000000000000,159,0.767295597484,0.971949685535
capable__self_check,1,0.000000000000,0.100000000000,0,NA,NA
capable__self_check,2,0.100000000000,0.200000000000,0,NA,NA
capable__self_check,3,0.200000000000,0.300000000000,0,NA,NA
capable__self_check,4,0.300000000000,0.400000000000,0,NA,NA
capable__self_check,5,0.400000000000,0.500000000000,0,NA,NA
capable__self_check,6,0.500000000000,0.600000000000,0,NA,NA
capable__self_check,7,0.600000000000,0.700000000000,1,0.000000000000,0.620000000000
capable__self_check,8,0.700000000000,0.800000000000,1,0.000000000000,0.740000000000
capable__self_check,9,0.800000000000,0.900000000000,2,0.500000000000,0.865000000000
capable__self_check,10,0.900000000000,1.000000000000,158,0.791139240506,0.980949367089
capable__escalation,1,0.000000000000,0.100000000000,0,NA,NA
capable__escalation,2,0.100000000000,0.200000000000,0,NA,NA
capable__escalation,3,0.200000000000,0.300000000000,0,NA,NA
capable__escalation,4,0.300000000000,0.400000000000,0,NA,NA
capable__escalation,5,0.400000000000,0.500000000000,0,NA,NA
capable__escalation,6,0.500000000000,0.600000000000,0,NA,NA
capable__escalation,7,0.600000000000,0.700000000000,0,NA,NA
capable__escalation,8,0.700000000000,0.800000000000,12,0.333333333333,0.765000000000
capable__escalation,9,0.800000000000,0.900000000000,31,0.419354838710,0.855483870968
capable__escalation,10,0.900000000000,1.000000000000,106,0.839622641509,0.943396226415
