configuration,bm25_top8_gold_hit,answerable_cases,issued_answers,coverage_within_stratum,selective_accuracy,brier_score
cheap__single_pass,full,127,106,0.834645669291,0.933962264151,0.059116981132
cheap__single_pass,partial,18,11,0.611111111111,0.181818181818,0.547018181818
cheap__single_pass,none,15,6,0.400000000000,0.000000000000,0.690533333333
cheap__self_check,full,127,65,0.511811023622,0.938461538462,0.060709230769
cheap__self_check,partial,18,7,0.388888888889,0.285714285714,0.616128571429
cheap__self_check,none,15,1,0.066666666667,0.000000000000,0.739600000000
cheap__escalation,full,127,107,0.842519685039,0.915887850467,0.070082242991
cheap__escalation,partial,18,11,0.611111111111,0.090909090909,0.591527272727
cheap__escalation,none,15,5,0.333333333333,0.000000000000,0.671040000000
standard__single_pass,full,127,31,0.244094488189,1.000000000000,0.000400000000
standard__single_pass,partial,18,0,0.000000000000,NA,NA
standard__single_pass,none,15,0,0.000000000000,NA,NA
standard__self_check,full,127,7,0.055118110236,1.000000000000,0.000185714286
standard__self_check,partial,18,0,0.000000000000,NA,NA
standard__self_check,none,15,0,0.000000000000,NA,NA
standard__escalation,full,127,108,0.850393700787,0.935185185185,0.058212037037
standard__escalation,partial,18,10,0.555555555556,0.200000000000,0.524880000000
standard__escalation,none,15,5,0.333333333333,0.000000000000,0.683200000000
capable__single_pass,full,127,124,0.976377952756,0.943548387097,0.051804838710
capable__single_pass,partial,18,16,0.888888888889,0.250000000000,0.652043750000
capable__single_pass,none,15,9,0.600000000000,0.111111111111,0.709166666667
capable__self_check,full,127,125,0.984251968504,0.960000000000,0.035756800000
capable__self_check,partial,18,15,0.833333333333,0.266666666667,0.645460000000
capable__self_check,none,15,9,0.600000000000,0.222222222222,0.682266666667
capable__escalation,full,127,112,0.881889763780,0.937500000000,0.056616071429
capable__escalation,partial,18,11,0.611111111111,0.090909090909,0.654781818182
capable__escalation,none,15,9,0.600000000000,0.000000000000,0.662177777778
